user-definedlabeln,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
1.0,34.0,51.0,8.0,1070340.0,128811.0,54004.0,4362.0,9190.0,31349.0,15836.0,2875.0
1.0,23.0,44.0,-1.0,2038119.0,219212.0,86189.0,19246.0,28653.0,39380.0,17866.0,6403.0
0.0,90.0,66.0,-260.0,274793.0,49977.0,49586.0,5803.0,6108.0,15983.0,7278.0,1516.0
1.0,69.0,30.0,67.0,490384.0,125277.0,8613.0,21362.0,27372.0,23282.0,19399.0,5880.0
0.0,70.0,40.0,22.0,917135.0,68137.0,11830.0,4362.0,23570.0,67568.0,39001.0,21761.0
0.0,81.0,47.0,22.0,15017.0,9111.0,4589.0,7305.0,13433.0,5903.0,3353.0,6443.0
1.0,44.0,66.0,118.0,1197592.0,27466.0,62697.0,73166.0,8517.0,33238.0,13288.0,10543.0
0.0,30.0,64.0,333.0,26412.0,36519.0,16670.0,18787.0,16947.0,5782.0,3720.0,2641.0
0.0,0.0,0.0,2047.0,627689.0,45067.0,18028.0,9930.0,58136.0,31465.0,17268.0,16125.0
0.0,0.0,0.0,2047.0,1410014.0,262001.0,26176.0,32151.0,115589.0,294517.0,118646.0,34529.0
1.0,50.0,47.0,-1.0,2390201.0,144270.0,34536.0,60716.0,41938.0,21231.0,11898.0,11071.0
1.0,51.0,44.0,-122.0,612381.0,408004.0,24820.0,32803.0,21096.0,28038.0,9627.0,10393.0
0.0,60.0,61.0,113.0,177084.0,24014.0,7122.0,7358.0,3975.0,7752.0,7301.0,532.0
1.0,48.0,63.0,41.0,552566.0,206782.0,20036.0,28865.0,8678.0,15746.0,5487.0,3422.0
1.0,30.0,44.0,27.0,38704.0,46779.0,13714.0,18214.0,15882.0,11496.0,8331.0,6185.0
0.0,56.0,63.0,-39.0,24958.0,17105.0,14776.0,20670.0,18008.0,12251.0,14614.0,8951.0
1.0,47.0,67.0,38.0,1013584.0,25955.0,47340.0,31015.0,21315.0,11519.0,21923.0,8174.0
0.0,81.0,47.0,136.0,53781.0,19434.0,15792.0,2507.0,4390.0,4769.0,2336.0,791.0
1.0,13.0,56.0,169.0,1081170.0,445504.0,85492.0,24406.0,31391.0,9516.0,13043.0,3270.0
0.0,64.0,61.0,-59.0,787679.0,313378.0,44789.0,13518.0,22937.0,28395.0,14059.0,23698.0
0.0,74.0,61.0,-17.0,165215.0,150440.0,10240.0,5988.0,4052.0,3261.0,1925.0,2507.0
1.0,1.0,30.0,74.0,640438.0,979190.0,53137.0,33758.0,47613.0,32604.0,43859.0,96115.0
0.0,53.0,51.0,-29.0,1284057.0,160730.0,17038.0,9123.0,49311.0,19023.0,7721.0,6851.0
1.0,35.0,81.0,-121.0,886877.0,514050.0,397346.0,372056.0,90196.0,95927.0,39108.0,24768.0
1.0,21.0,35.0,54.0,1019696.0,50999.0,17707.0,6344.0,11138.0,5465.0,7052.0,3200.0
1.0,16.0,57.0,-113.0,2453517.0,258650.0,140782.0,639718.0,151893.0,78349.0,74704.0,40877.0
1.0,74.0,26.0,83.0,13181.0,19668.0,7468.0,6014.0,17208.0,26074.0,17735.0,28005.0
1.0,27.0,60.0,193.0,770756.0,158684.0,8600.0,29384.0,4505.0,17964.0,5468.0,1337.0
0.0,51.0,40.0,54.0,299445.0,156629.0,30361.0,22417.0,40954.0,19035.0,5341.0,3220.0
1.0,54.0,34.0,67.0,2410810.0,737525.0,44966.0,42396.0,60635.0,68774.0,31379.0,17026.0
0.0,0.0,0.0,2047.0,87136.0,21235.0,3339.0,8822.0,9193.0,105158.0,65477.0,30507.0
0.0,87.0,61.0,-124.0,63121.0,30243.0,22671.0,5731.0,10648.0,72640.0,11796.0,18133.0
0.0,57.0,56.0,-89.0,347262.0,43214.0,12288.0,8982.0,5414.0,8380.0,5260.0,906.0
1.0,54.0,30.0,10.0,134428.0,49313.0,2521.0,9173.0,7198.0,14535.0,3253.0,4228.0
1.0,50.0,61.0,377.0,170041.0,49364.0,15666.0,4906.0,1838.0,7784.0,4132.0,3557.0
1.0,83.0,27.0,28.0,3150.0,7361.0,1931.0,1400.0,13425.0,13011.0,7807.0,9661.0
0.0,29.0,60.0,357.0,158456.0,73327.0,19975.0,13131.0,8349.0,11664.0,2194.0,571.0
1.0,0.0,0.0,2047.0,1052618.0,277481.0,16287.0,23721.0,74284.0,426057.0,129623.0,96318.0
1.0,0.0,0.0,2047.0,1186445.0,432746.0,107906.0,49219.0,82736.0,51520.0,96338.0,128638.0
1.0,27.0,16.0,536.0,599944.0,50632.0,10370.0,9575.0,7042.0,6953.0,4826.0,1600.0
0.0,57.0,70.0,54.0,2459.0,12142.0,11364.0,3020.0,5105.0,3676.0,7004.0,3848.0
1.0,20.0,56.0,-17.0,702465.0,237345.0,58453.0,75542.0,23436.0,40134.0,37663.0,14678.0
0.0,69.0,66.0,114.0,327552.0,20601.0,10719.0,8869.0,4910.0,6151.0,2466.0,466.0
0.0,0.0,0.0,732.0,105881.0,14635.0,844.0,2903.0,9377.0,3481.0,2684.0,1670.0
1.0,38.0,70.0,-23.0,75503.0,32590.0,2751.0,4806.0,5062.0,1847.0,3879.0,980.0
0.0,56.0,70.0,123.0,363896.0,108497.0,48134.0,13960.0,11916.0,14185.0,4765.0,3630.0
1.0,8.0,43.0,413.0,1455843.0,522663.0,13216.0,123180.0,221211.0,103964.0,38892.0,16766.0
0.0,0.0,0.0,2047.0,200443.0,74176.0,19215.0,11510.0,6080.0,90178.0,61356.0,30353.0
1.0,44.0,50.0,112.0,1096727.0,357948.0,29146.0,42505.0,31585.0,14249.0,5938.0,6697.0
0.0,35.0,56.0,57.0,206832.0,317335.0,21244.0,13515.0,29151.0,11904.0,3207.0,3412.0
0.0,0.0,0.0,-2048.0,626488.0,130446.0,27989.0,37413.0,49954.0,395167.0,321080.0,115590.0
1.0,1.0,56.0,105.0,889571.0,741347.0,500808.0,60274.0,62082.0,35494.0,28990.0,18074.0
1.0,14.0,29.0,-30.0,597064.0,171913.0,17436.0,31721.0,16934.0,15172.0,11944.0,6779.0
1.0,44.0,63.0,5.0,17837.0,16079.0,26301.0,34047.0,11752.0,10529.0,6195.0,5424.0
1.0,44.0,63.0,100.0,629178.0,40022.0,12074.0,15379.0,9268.0,9007.0,1633.0,4209.0
0.0,41.0,67.0,-3.0,902.0,28374.0,5021.0,27370.0,8429.0,4377.0,2069.0,1096.0
0.0,84.0,64.0,148.0,11022.0,8804.0,5969.0,5788.0,13142.0,12044.0,15369.0,6730.0
1.0,51.0,16.0,-42.0,192501.0,46817.0,1373.0,5950.0,4937.0,4088.0,1546.0,834.0
1.0,43.0,61.0,39.0,626964.0,30236.0,2604.0,3094.0,9104.0,5434.0,3147.0,3286.0
0.0,53.0,77.0,-19.0,314008.0,69940.0,15283.0,2089.0,2456.0,5382.0,5157.0,3949.0
0.0,48.0,51.0,-25.0,129721.0,87335.0,27666.0,19292.0,7089.0,15155.0,5079.0,1469.0
0.0,56.0,88.0,277.0,506337.0,185656.0,346917.0,179920.0,46672.0,93178.0,131956.0,10751.0
1.0,61.0,69.0,187.0,1199296.0,37595.0,23789.0,9344.0,7300.0,14405.0,36514.0,6530.0
0.0,41.0,44.0,-23.0,379349.0,111546.0,3921.0,9082.0,5104.0,15268.0,5568.0,645.0
0.0,77.0,35.0,9.0,270171.0,22000.0,20699.0,10300.0,6849.0,54123.0,15653.0,793.0
1.0,51.0,50.0,152.0,933166.0,266131.0,28714.0,36589.0,33213.0,46875.0,43950.0,2917.0
1.0,0.0,0.0,2047.0,441240.0,230637.0,88882.0,18817.0,49367.0,642579.0,297077.0,77290.0
0.0,60.0,54.0,-23.0,46017.0,16874.0,6568.0,37096.0,13284.0,79888.0,81410.0,29831.0
1.0,0.0,0.0,-2048.0,998919.0,303966.0,104730.0,36241.0,57730.0,171098.0,238162.0,55973.0
0.0,0.0,0.0,-2048.0,409612.0,205581.0,8810.0,23155.0,25040.0,143681.0,141963.0,57383.0
1.0,43.0,60.0,41.0,1138533.0,450763.0,321848.0,128527.0,36628.0,42066.0,41211.0,7956.0
1.0,0.0,0.0,1977.0,430405.0,417519.0,107148.0,88525.0,123530.0,121217.0,53185.0,200318.0
0.0,35.0,51.0,44.0,11320.0,12778.0,1834.0,1668.0,1711.0,4492.0,1998.0,1388.0
1.0,54.0,61.0,-211.0,758669.0,81596.0,2085.0,11050.0,2014.0,15632.0,4842.0,418.0
0.0,40.0,51.0,-157.0,271177.0,27623.0,30535.0,17436.0,14799.0,7886.0,2837.0,4635.0
1.0,30.0,35.0,163.0,3529287.0,626511.0,96335.0,20505.0,52953.0,36676.0,101950.0,21239.0
1.0,17.0,27.0,93.0,387465.0,197892.0,1404.0,6167.0,11318.0,3923.0,2487.0,716.0
1.0,43.0,57.0,-40.0,372284.0,28333.0,34404.0,22952.0,5591.0,36064.0,16364.0,15497.0
1.0,34.0,53.0,48.0,98659.0,168351.0,51972.0,18033.0,27707.0,19224.0,5408.0,5115.0
0.0,67.0,34.0,39.0,13483.0,15016.0,3219.0,4936.0,8414.0,7490.0,2420.0,1597.0
0.0,0.0,0.0,-2048.0,79209.0,86759.0,14085.0,23919.0,13263.0,180125.0,42210.0,20035.0
1.0,0.0,0.0,2047.0,358464.0,76538.0,11237.0,28736.0,6426.0,84068.0,50116.0,20578.0
0.0,63.0,57.0,88.0,561483.0,68668.0,58076.0,11198.0,23076.0,7210.0,13236.0,8636.0
0.0,48.0,69.0,35.0,8343.0,7603.0,418.0,2450.0,2053.0,3693.0,1082.0,1779.0
1.0,60.0,29.0,55.0,2060025.0,1019071.0,78122.0,95018.0,163592.0,66801.0,28240.0,23311.0
0.0,53.0,67.0,169.0,320329.0,20800.0,3898.0,2724.0,9397.0,2205.0,592.0,1078.0
0.0,51.0,51.0,72.0,154639.0,80815.0,8366.0,3383.0,11464.0,21323.0,15084.0,6488.0
1.0,26.0,61.0,-24.0,207456.0,38904.0,13443.0,6349.0,2170.0,2848.0,2357.0,1602.0
1.0,11.0,30.0,91.0,1321234.0,51717.0,8487.0,4826.0,19868.0,11361.0,29265.0,10915.0
1.0,51.0,60.0,3.0,2752.0,4802.0,9540.0,7157.0,12095.0,20879.0,16834.0,6580.0
0.0,69.0,50.0,146.0,604610.0,19069.0,11151.0,3338.0,3711.0,24991.0,6888.0,6085.0
1.0,66.0,27.0,-4.0,520163.0,141902.0,74920.0,15214.0,16941.0,33303.0,61966.0,18338.0
1.0,53.0,64.0,60.0,13145.0,25191.0,8080.0,4810.0,9175.0,6190.0,7648.0,5252.0
0.0,23.0,66.0,56.0,2218563.0,149441.0,15825.0,52982.0,4140.0,41541.0,8102.0,1230.0
0.0,29.0,93.0,-71.0,2113934.0,177915.0,51778.0,59225.0,16101.0,26215.0,36652.0,32350.0
1.0,53.0,60.0,33.0,10170.0,19582.0,1761.0,8196.0,4956.0,6958.0,4423.0,3749.0
